measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Argentina,Both,All Ages,Total cancers,Number,1990,1428823.2399156168,1458183.6114686737,1397880.9881791298
YLLs (Years of Life Lost),Argentina,Both,All Ages,Total cancers,Percent,1990,0.1988372808874021,0.202939010141789,0.19471358365556118
YLLs (Years of Life Lost),Argentina,Both,All Ages,Total cancers,Rate,1990,4313.985025580809,4402.631542299603,4220.562405539415
YLLs (Years of Life Lost),Japan,Both,All Ages,Total cancers,Number,1990,5506782.175481753,5584457.993759814,5347661.908853697
YLLs (Years of Life Lost),Japan,Both,All Ages,Total cancers,Percent,1990,0.32774861417012907,0.3323140557807305,0.31842160699586064
YLLs (Years of Life Lost),Japan,Both,All Ages,Total cancers,Rate,1990,4375.092869139972,4436.805663985215,4248.6731340431925
YLLs (Years of Life Lost),Mexico,Both,All Ages,Total cancers,Number,1990,1442839.141787822,1484645.72066496,1401949.1088219231
YLLs (Years of Life Lost),Mexico,Both,All Ages,Total cancers,Percent,1990,0.07152080693468811,0.07546683426158707,0.06773586278634774
YLLs (Years of Life Lost),Mexico,Both,All Ages,Total cancers,Rate,1990,1687.7740960074484,1736.677718613704,1639.9426112452445
YLLs (Years of Life Lost),Kenya,Both,All Ages,Total cancers,Number,1990,232733.47268256533,262992.9202604365,202231.01395080067
YLLs (Years of Life Lost),Kenya,Both,All Ages,Total cancers,Percent,1990,0.019499192660544548,0.022037010903849595,0.01694807072851955
YLLs (Years of Life Lost),Kenya,Both,All Ages,Total cancers,Rate,1990,1003.4440987973835,1133.909492343493,871.9309483235505
YLLs (Years of Life Lost),Australasia,Both,All Ages,Total cancers,Number,1990,867096.5304043958,885189.2573176292,845158.5435443696
YLLs (Years of Life Lost),Australasia,Both,All Ages,Total cancers,Percent,1990,0.26868895111519653,0.2742243651552414,0.26206529493999936
YLLs (Years of Life Lost),Australasia,Both,All Ages,Total cancers,Rate,1990,4276.139127597195,4365.3645076624625,4167.950614895937
YLLs (Years of Life Lost),Nepal,Both,All Ages,Total cancers,Number,1990,344591.4572135451,420932.21509030095,281903.9179269725
YLLs (Years of Life Lost),Nepal,Both,All Ages,Total cancers,Percent,1990,0.025341798264211252,0.03008872238817208,0.020958440374192804
YLLs (Years of Life Lost),Nepal,Both,All Ages,Total cancers,Rate,1990,1763.8275540946654,2154.5857386774182,1442.954802384142
YLLs (Years of Life Lost),Tajikistan,Both,All Ages,Total cancers,Number,1990,120935.61689351559,130914.39968443374,112579.52764940256
YLLs (Years of Life Lost),Tajikistan,Both,All Ages,Total cancers,Percent,1990,0.054663437211741266,0.06043317161289212,0.050068061380385685
YLLs (Years of Life Lost),Tajikistan,Both,All Ages,Total cancers,Rate,1990,2249.6966843211612,2435.326320444458,2094.253095829567
YLLs (Years of Life Lost),Italy,Both,All Ages,Total cancers,Number,1990,3328321.6129032522,3370562.289873185,3256141.413294308
YLLs (Years of Life Lost),Italy,Both,All Ages,Total cancers,Percent,1990,0.3155780698352518,0.319211334065382,0.308710318799278
YLLs (Years of Life Lost),Italy,Both,All Ages,Total cancers,Rate,1990,5859.902581276177,5934.272272910361,5732.8208304124155
YLLs (Years of Life Lost),United States of America,Both,All Ages,Total cancers,Number,1990,11981823.497064194,12170370.63943705,11632349.951154593
YLLs (Years of Life Lost),United States of America,Both,All Ages,Total cancers,Percent,1990,0.24760049707925164,0.25151193089957535,0.24063262417340678
YLLs (Years of Life Lost),United States of America,Both,All Ages,Total cancers,Rate,1990,4724.589901501113,4798.936508679065,4586.787906149508
YLLs (Years of Life Lost),United Kingdom,Both,All Ages,Total cancers,Number,2000,3272341.7618300775,3327566.147482277,3165298.0350615503
YLLs (Years of Life Lost),United Kingdom,Both,All Ages,Total cancers,Percent,2000,0.3041709967526348,0.3090803803451272,0.2939060054080174
YLLs (Years of Life Lost),United Kingdom,Both,All Ages,Total cancers,Rate,2000,5494.402375120985,5587.126490685967,5314.671360023752
YLLs (Years of Life Lost),Ukraine,Both,All Ages,Total cancers,Number,2000,3110667.7761378535,3164797.9535580147,3050161.0210352447
YLLs (Years of Life Lost),Ukraine,Both,All Ages,Total cancers,Percent,2000,0.17068920679801114,0.17365030294409547,0.1675738504076688
YLLs (Years of Life Lost),Ukraine,Both,All Ages,Total cancers,Rate,2000,6262.464334582269,6371.440390501437,6140.650813145445
YLLs (Years of Life Lost),Latvia,Both,All Ages,Total cancers,Number,1990,147402.91165623543,152234.32953891487,143459.08778987004
YLLs (Years of Life Lost),Latvia,Both,All Ages,Total cancers,Percent,1990,0.18020142279167228,0.18492119510959826,0.1767929271730208
