measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All Ages,Esophageal cancer,Number,1990,319331.6212724109,350801.5772050766,248666.04125898788
Deaths,Global,Both,All Ages,Stomach cancer,Number,1990,788316.9582994808,833998.7581176799,742786.8571220138
Deaths,Global,Both,All Ages,Liver cancer,Number,1990,365214.9501835476,405773.5072371742,329967.11615848675
Deaths,Global,Both,All Ages,Leukemia,Number,1990,263262.92917909427,298696.12407353544,233664.13961184
Deaths,Global,Both,All Ages,Testicular cancer,Number,1990,7224.173429266253,7905.952435109373,6792.1931406350595
Deaths,Global,Both,All Ages,Kidney cancer,Number,1990,72099.90619741869,74673.61140783552,68876.24567262524
Deaths,Global,Both,All Ages,Bladder cancer,Number,1990,121499.53156349133,127170.94235078964,114751.3645340184
Deaths,Global,Both,All Ages,Brain and central nervous system cancer,Number,1990,139632.31051802027,182291.07396668842,119904.90932112097
Deaths,Global,Both,All Ages,Thyroid cancer,Number,1990,22966.37779723683,25227.701695447668,21553.75622052853
Deaths,Global,Both,All Ages,Mesothelioma,Number,1990,15385.420688064267,17017.09239224862,13815.00254606037
Deaths,Global,Both,All Ages,Hodgkin lymphoma,Number,1990,27602.09542362298,30234.964536336338,21663.390014275694
Deaths,Global,Both,All Ages,Non-Hodgkin lymphoma,Number,1990,126082.15255991637,131976.19276644467,119768.26697651166
Deaths,Global,Both,All Ages,Multiple myeloma,Number,1990,51862.29111392137,58979.91251971835,47709.88754810117
Deaths,Global,Both,All Ages,Larynx cancer,Number,1990,87458.56221357136,91550.92331547948,83181.64356461627
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Number,1990,1065138.9852014934,1117181.483606347,1019216.8104844099
Deaths,Global,Both,All Ages,Breast cancer,Number,1990,380905.19802927895,396713.6900657434,364814.6218293402
Deaths,Global,Both,All Ages,Cervical cancer,Number,1990,184527.078315496,218942.0986255401,164835.84621895978
Deaths,Global,Both,All Ages,Uterine cancer,Number,1990,56129.95931646733,60198.50020858855,51103.89150136812
Deaths,Global,Both,All Ages,Prostate cancer,Number,1990,232998.88735567313,268882.2668128988,191397.70628425802
Deaths,Global,Both,All Ages,Colon and rectum cancer,Number,1990,518126.1153746527,537876.5071431291,493682.2896977516
Deaths,Global,Both,All Ages,Lip and oral cavity cancer,Number,1990,96627.52702709509,103050.06545757965,90592.2805722015
Deaths,Global,Both,All Ages,Nasopharynx cancer,Number,1990,53458.81183609249,57905.852744021126,48874.779987417685
Deaths,Global,Both,All Ages,Other pharynx cancer,Number,1990,51459.58612104178,56456.7871511242,47973.60613376905
Deaths,Global,Both,All Ages,Gallbladder and biliary tract cancer,Number,1990,94855.0640329401,107240.3458616641,85139.1725404707
Deaths,Global,Both,All Ages,Pancreatic cancer,Number,1990,198050.91137614066,204762.56010366898,189328.90008672987
Deaths,Global,Both,All Ages,Malignant skin melanoma,Number,1990,33082.96204881566,43093.7857135287,27827.116749691802
Deaths,Global,Both,All Ages,Non-melanoma skin cancer,Number,1990,23222.10962013672,24436.24278470137,21440.589127278385
Deaths,Global,Both,All Ages,Ovarian cancer,Number,1990,97363.29862746538,109760.79148850069,89702.93899518992
Deaths,Global,Both,All Ages,Larynx cancer,Number,1991,88942.149348301,93328.95391687778,84619.47270925707
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Number,1991,1088143.474851876,1137364.8197971971,1037598.8699226235
Deaths,Global,Both,All Ages,Breast cancer,Number,1991,388876.17978469346,405457.7980289035,372392.9799343989
Deaths,Global,Both,All Ages,Cervical cancer,Number,1991,185386.23238480004,226805.76932421495,165658.57171985068
Deaths,Global,Both,All Ages,Uterine cancer,Number,1991,56790.026351995315,61026.96720106015,51571.563261525975
Deaths,Global,Both,All Ages,Prostate cancer,Number,1991,239667.4204260886,276343.0800185297,197278.18084882927
Deaths,Global,Both,All Ages,Colon and rectum cancer,Number,1991,529698.521432781,549624.7531903015,504498.4483315078
