measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Japan,Both,All Ages,Total cancers,Number,1990,241522.86777910896,246610.4409317436,230421.44056962372
Deaths,Japan,Both,All Ages,Total cancers,Percent,1990,0.29773599739807177,0.3039527099946154,0.28441262081165225
Deaths,Japan,Both,All Ages,Total cancers,Rate,1990,191.88791981992162,195.9299545894142,183.06792776762168
Deaths,Argentina,Both,All Ages,Total cancers,Number,1990,56195.93261916873,57821.68534182751,54484.68629281233
Deaths,Argentina,Both,All Ages,Total cancers,Percent,1990,0.22313553836425631,0.22964046368024899,0.2164538714979842
Deaths,Argentina,Both,All Ages,Total cancers,Rate,1990,169.66998089417945,174.5785467019846,164.50328789762816
Deaths,China,Both,All Ages,Total cancers,Number,1990,1457221.875997313,1624867.485811224,1288428.3784718418
Deaths,China,Both,All Ages,Total cancers,Percent,1990,0.1744599416812886,0.18335238409808163,0.1658546694542756
Deaths,China,Both,All Ages,Total cancers,Rate,1990,123.10923870925328,137.27230044823096,108.84920094718531
Deaths,Mongolia,Both,All Ages,Total cancers,Number,1990,2918.7357284643836,3432.5857117728538,2445.175545402107
Deaths,Mongolia,Both,All Ages,Total cancers,Percent,1990,0.14125922601822685,0.1526177248654296,0.12669000500478542
Deaths,Mongolia,Both,All Ages,Total cancers,Rate,1990,135.52333883961657,159.38252715923943,113.53489482798047
Deaths,South Africa,Both,All Ages,Total cancers,Number,1990,27613.51142964621,31418.9551512031,24546.80468271344
Deaths,South Africa,Both,All Ages,Total cancers,Percent,1990,0.09397747497626871,0.10658695789505847,0.0837455024171726
Deaths,South Africa,Both,All Ages,Total cancers,Rate,1990,74.97670372474076,85.3093130772051,66.64992631502001
Deaths,Canada,Both,All Ages,Total cancers,Number,1990,53415.88396833699,54704.10311636519,51117.17338222278
Deaths,Canada,Both,All Ages,Total cancers,Percent,1990,0.28058754901580435,0.2873094329185098,0.26835058431667747
Deaths,Canada,Both,All Ages,Total cancers,Rate,1990,195.9722289685859,200.6984481955998,187.5387181128727
Deaths,Kenya,Both,All Ages,Total cancers,Number,1990,6879.551862185681,7865.735843949054,5801.2160139962625
