measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Esophageal cancer,Rate,1990,199.28266867347716,219.98898830336032,154.24784708756783
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Stomach cancer,Rate,1990,493.3795352927193,523.6971987937097,463.7341386237676
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Liver cancer,Rate,1990,258.37376644536243,290.12662817194007,230.89819513043955
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Larynx cancer,Rate,1990,59.030824129661006,61.85755017556339,56.12660537099374
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,1990,657.9791496467666,690.8339256125504,628.2796521385844
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Breast cancer,Rate,1990,275.3199327145855,288.7731036362837,263.2395997811683
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Cervical cancer,Rate,1990,139.98108407513118,165.8493306640019,123.78760077499906
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Uterine cancer,Rate,1990,36.12838208805665,39.1644766813602,32.317433164472334
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Prostate cancer,Rate,1990,118.99036153655798,135.55528930642646,96.3920911394224
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Colon and rectum cancer,Rate,1990,308.5134083662853,320.75294184009573,294.7104572151601
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Lip and oral cavity cancer,Rate,1990,67.00792750606173,71.56841012350617,62.934074447017295
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Nasopharynx cancer,Rate,1990,41.67161310611612,45.35092225762087,38.077103556028675
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Other pharynx cancer,Rate,1990,36.37360369953815,39.815224075424396,33.83831354877076
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Gallbladder and biliary tract cancer,Rate,1990,54.10930360469088,61.33956639913942,48.720767408113005
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Thyroid cancer,Rate,1990,15.552238713408999,17.021482981057527,14.400791727374092
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Mesothelioma,Rate,1990,9.43796435452693,10.586248823700087,8.35398426242164
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Hodgkin lymphoma,Rate,1990,24.09283402948735,26.51405819860392,18.60929258165154
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Non-Hodgkin lymphoma,Rate,1990,90.43228186596293,96.22171759958405,84.41224440073253
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Multiple myeloma,Rate,1990,30.51550110218926,35.00333137556961,27.978792701735003
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Leukemia,Rate,1990,240.29174802152582,283.3178816704556,205.98944071601454
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Pancreatic cancer,Rate,1990,115.47457675442709,119.60379089560467,110.82339844467832
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Malignant skin melanoma,Rate,1990,23.583683864063893,29.918239485636395,19.620955299203484
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Non-melanoma skin cancer,Rate,1990,14.438523477707353,15.421424417924516,13.306600455140604
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Ovarian cancer,Rate,1990,64.7268996984796,74.26865775716539,59.291604763549266
